player1,player2,item1wins,item2wins
s1,s10,4,1
s1,s11,3,3
s1,s12,19,0
s1,s13,4,0
s1,s16,128,0
s1,s2,21,23
s1,s3,13,8
s1,s4,34,15
s1,s5,32,7
s1,s6,7,2
s1,s7,4,0
s1,s8,52,12
s1,s9,59,5
s10,s11,2,1
s10,s14,0,1
s10,s15,5,0
s11,s14,5,0
s12,s13,8,3
s2,s10,18,27
s2,s11,1,12
s2,s12,0,1
s2,s15,120,8
s2,s3,14,25
s2,s4,4,2
s2,s5,3,0
s2,s6,6,23
s2,s7,21,54
s2,s8,3,2
s2,s9,1,0
s3,s10,9,4
s3,s11,14,27
s3,s14,107,21
s3,s15,1,0
s3,s4,3,2
s3,s5,1,2
s3,s6,28,38
s3,s7,7,5
s3,s8,0,1
s3,s9,0,1
s4,s10,2,0
s4,s12,12,23
s4,s13,102,26
s4,s5,31,36
s4,s6,2,1
s4,s7,2,2
s4,s8,5,3
s4,s9,0,2
s5,s10,1,0
s5,s12,82,46
s5,s13,12,3
s5,s6,1,0
s5,s8,2,0
s5,s9,1,1
s6,s10,4,2
s6,s11,82,46
s6,s14,14,2
s6,s7,4,3
s6,s8,1,0
s7,s10,78,50
s7,s11,3,0
s7,s14,0,1
s7,s15,2,1
s7,s8,1,0
s8,s12,0,1
s8,s13,1,0
s8,s9,64,64
s9,s13,1,0
